,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Shaquille O'Neal,LAL,28,79,66,13,40.1,29.7,12.1,21.1,57.4,0.0,0.0,0.0,5.5,10.4,52.4,4.3,9.4,13.6,3.8,2.8,0.5,3.0,3.2,59.3,63,0,8.9
1,2,Allen Iverson,PHI,25,70,42,28,40.8,28.4,10.4,24.8,42.1,1.3,3.7,34.1,6.3,8.9,71.3,1.0,2.8,3.8,4.7,3.3,2.1,0.1,2.3,43.1,1,0,1.8
2,3,Grant Hill,DET,27,74,40,34,37.5,25.8,9.4,19.2,48.9,0.5,1.3,34.7,6.5,8.2,79.5,1.3,5.3,6.6,5.2,3.2,1.4,0.6,2.6,44.2,13,0,3.2
3,4,Vince Carter,TOR,23,82,45,37,38.1,25.7,9.6,20.7,46.5,1.2,2.9,40.3,5.3,6.7,79.1,1.8,4.0,5.8,3.9,2.2,1.3,1.1,3.2,43.8,9,1,2.2
4,5,Karl Malone,UTA,36,82,55,27,35.9,25.5,9.2,18.0,50.9,0.0,0.1,25.0,7.2,9.0,79.7,2.1,7.4,9.5,3.7,2.8,1.0,0.9,2.8,45.2,43,0,5.9
5,6,Chris Webber,SAC,27,75,41,34,38.4,24.5,10.0,20.6,48.3,0.4,1.3,28.4,4.1,5.5,75.1,2.5,8.0,10.5,4.6,2.9,1.6,1.7,3.5,51.0,49,5,1.8
6,7,Gary Payton,SEA,31,82,45,37,41.8,24.2,9.1,20.3,44.8,2.2,6.3,34.0,3.8,5.2,73.5,1.2,5.2,6.5,8.9,2.7,1.9,0.2,2.2,48.8,41,2,2.7
7,8,Jerry Stackhouse,DET,25,82,42,40,38.4,23.6,7.5,17.6,42.8,1.0,3.5,28.8,7.5,9.2,81.5,1.4,2.4,3.8,4.5,3.8,1.3,0.4,2.3,36.2,2,0,0.3
8,9,Tim Duncan,SAS,24,74,48,26,38.9,23.2,8.5,17.3,49.0,0.0,0.1,9.1,6.2,8.1,76.1,3.5,8.9,12.4,3.2,3.3,0.9,2.2,2.8,48.9,60,1,6.4
9,10,Kevin Garnett,MIN,24,81,50,31,40.0,22.9,9.4,18.8,49.7,0.4,1.0,37.0,3.8,5.0,76.5,2.8,9.0,11.8,5.0,3.3,1.5,1.6,2.5,50.3,57,1,4.0
10,11,Michael Finley,DAL,27,82,40,42,42.3,22.6,9.1,20.0,45.7,1.2,3.0,40.1,3.2,3.9,82.0,1.5,4.8,6.3,5.3,2.4,1.3,0.4,2.1,41.0,18,4,0.1
11,12,Kobe Bryant,LAL,21,66,55,11,38.2,22.5,8.4,17.9,46.8,0.7,2.2,31.9,5.0,6.1,82.1,1.6,4.7,6.3,4.9,2.8,1.6,0.9,3.3,42.3,12,0,8.0
12,13,Stephon Marbury,NJN,23,74,31,43,38.9,22.2,7.7,17.8,43.2,0.9,3.1,28.3,5.9,7.2,81.3,0.8,2.4,3.2,8.4,3.6,1.5,0.2,2.6,40.2,29,0,0.2
13,14,Ray Allen,MIL,24,82,42,40,37.5,22.1,7.8,17.2,45.5,2.1,5.0,42.3,4.3,4.9,88.7,1.0,3.4,4.4,3.8,2.2,1.3,0.2,2.3,35.4,3,0,1.5
14,15,Alonzo Mourning,MIA,30,79,50,29,34.7,21.7,8.3,15.0,55.1,0.0,0.1,0.0,5.2,7.4,71.1,2.7,6.8,9.5,1.6,2.7,0.5,3.7,3.9,45.5,38,0,3.4
15,16,Glenn Robinson,MIL,27,81,42,39,36.0,20.9,8.5,18.0,47.2,1.1,2.9,36.3,2.8,3.5,80.2,1.3,4.7,6.0,2.4,2.8,1.0,0.5,2.6,33.3,8,0,1.6
16,17,Antoine Walker,BOS,23,82,35,47,36.6,20.5,7.9,18.4,43.0,0.9,3.5,25.6,3.8,5.4,69.9,2.4,5.5,8.0,3.7,3.2,1.4,0.4,3.2,37.9,23,1,-0.1
17,18,Shareef Abdur-Rahim,VAN,23,82,22,60,39.3,20.3,7.2,15.6,46.5,0.4,1.2,30.2,5.4,6.7,80.9,2.7,7.4,10.1,3.3,3.0,1.1,1.1,3.0,40.7,42,0,-4.0
18,19,Elton Brand,CHI,21,81,17,64,37.0,20.1,7.8,16.1,48.2,0.0,0.0,0.0,4.5,6.6,68.5,4.3,5.7,10.0,1.9,2.8,0.8,1.6,3.2,39.5,42,0,-8.0
19,20,Eddie Jones,CHH,28,72,47,25,38.9,20.1,6.6,15.5,42.7,1.8,4.7,37.5,5.0,5.8,86.4,1.1,3.6,4.8,4.2,2.2,2.7,0.7,2.4,40.0,1,0,5.0
20,21,Allan Houston,NYK,29,82,50,32,38.6,19.7,7.5,15.5,48.3,1.3,3.0,43.6,3.4,4.1,83.8,0.5,2.8,3.3,2.7,2.3,0.8,0.2,2.7,28.4,0,0,1.9
21,22,Antawn Jamison,GSW,24,43,10,33,36.3,19.6,8.3,17.6,47.1,0.0,0.2,28.6,3.0,4.8,61.1,4.0,4.3,8.3,2.1,2.6,0.7,0.3,2.7,33.2,16,0,-5.8
22,23,Paul Pierce,BOS,22,73,34,39,35.4,19.5,6.7,15.1,44.2,1.3,3.8,34.3,4.9,6.2,79.8,1.1,4.3,5.4,3.0,2.4,2.1,0.8,3.2,37.0,6,0,2.5
23,24,Isaiah Rider,ATL,29,60,23,37,34.8,19.3,7.5,17.9,41.9,0.9,3.0,31.1,3.4,4.3,78.5,1.1,3.3,4.3,3.7,2.8,0.7,0.1,2.2,29.5,1,0,-1.5
24,25,Keith Van Horn,NJN,24,80,30,50,34.9,19.2,7.0,15.7,44.5,1.1,2.9,36.8,4.2,4.9,84.7,2.5,6.0,8.5,2.0,3.1,0.8,0.8,3.2,33.9,31,0,-2.8
25,26,Antonio McDyess,DEN,25,81,34,47,33.3,19.1,7.6,15.0,50.7,0.0,0.0,0.0,4.0,6.4,62.6,2.9,5.6,8.5,2.0,2.8,0.9,1.7,3.9,37.1,31,0,-2.7
26,27,Sam Cassell,MIL,30,81,42,39,35.8,18.6,6.7,14.4,46.6,0.3,1.1,28.9,4.8,5.5,87.6,0.9,2.9,3.7,9.0,3.3,1.3,0.1,3.1,37.3,29,0,1.7
27,28,Latrell Sprewell,NYK,29,82,50,32,40.0,18.6,6.9,15.9,43.5,0.5,1.5,34.6,4.2,4.8,86.6,0.6,3.7,4.3,4.0,2.8,1.3,0.3,2.2,31.8,4,0,2.1
28,29,Clifford Robinson,PHX,33,80,51,29,35.5,18.5,6.6,14.3,46.4,1.5,4.1,37.0,3.7,4.8,78.2,1.3,3.2,4.5,2.8,2.1,1.1,0.8,3.0,31.6,1,0,3.2
29,30,Michael Dickerson,VAN,25,82,22,60,37.9,18.2,6.8,15.5,43.6,1.5,3.5,40.9,3.3,4.0,83.0,1.0,2.5,3.4,2.5,2.0,1.4,0.5,2.8,30.0,0,0,-4.6
30,31,Jalen Rose,IND,27,80,54,26,37.2,18.2,7.0,15.0,47.1,1.0,2.5,39.3,3.2,3.8,82.7,0.5,4.3,4.8,4.0,2.4,1.1,0.6,2.9,32.7,4,0,2.9
31,32,Reggie Miller,IND,34,81,55,26,36.9,18.1,5.8,12.9,44.8,2.0,5.0,40.8,4.6,5.0,91.9,0.6,2.3,3.0,2.3,1.6,1.0,0.3,1.6,27.6,0,0,3.4
32,33,Steve Francis,HOU,23,77,31,46,36.0,18.0,6.5,14.5,44.5,1.4,4.0,34.5,3.7,4.7,78.6,2.0,3.3,5.3,6.6,4.0,1.5,0.4,3.0,36.0,17,1,-2.1
33,34,Shawn Kemp,CLE,30,82,32,50,30.4,17.8,5.9,14.1,41.7,0.0,0.1,33.3,6.0,7.7,77.6,2.8,6.0,8.8,1.7,3.5,1.2,1.2,4.5,34.6,35,0,-1.6
34,35,David Robinson,SAS,34,80,51,29,32.0,17.8,6.6,12.9,51.2,0.0,0.0,0.0,4.6,6.4,72.6,2.4,7.2,9.6,1.8,2.1,1.2,2.3,3.1,40.5,34,0,5.2
35,36,Dirk Nowitzki,DAL,22,82,40,42,35.9,17.5,6.3,13.6,46.1,1.4,3.7,37.9,3.5,4.2,83.0,1.2,5.2,6.5,2.5,1.7,0.8,0.8,3.1,32.1,9,0,1.1
