,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,GSGolden State Warriors,6,1,0.857,-,3-0,3-1,4-0,6-0,112.4,101.6,10.8,W6,6-1
1,ATLAtlanta Hawks,5,2,0.7140000000000001,1,2-1,3-1,1-0,3-1,98.0,92.1,5.9,W3,5-2
2,BOSBoston Celtics,5,2,0.7140000000000001,1,2-1,3-1,3-2,5-2,105.0,99.1,5.9,L1,5-2
3,MINMinnesota Timberwolves,5,2,0.7140000000000001,1,3-0,2-2,1-1,2-1,100.7,94.6,6.1,W2,5-2
4,HOUHouston Rockets,5,2,0.7140000000000001,1,3-1,2-1,3-2,3-2,118.6,108.1,10.5,L1,5-2
5,NYNew York Knicks,4,2,0.667,1.5,2-1,2-1,3-1,4-1,108.8,107.0,1.8,W2,4-2
6,PHXPhoenix Suns,4,2,0.667,1.5,2-1,2-1,1-0,4-2,103.5,102.7,0.8,W3,4-2
7,MEMMemphis Grizzlies,4,2,0.667,1.5,2-1,2-1,1-0,2-1,107.3,102.0,5.3,L1,4-2
8,SASan Antonio Spurs,4,2,0.667,1.5,2-1,2-1,1-0,1-1,97.2,93.2,4.0,W1,4-2
9,WSHWashington Wizards,4,3,0.5710000000000001,2,2-1,2-2,0-1,4-2,106.0,98.7,7.3,W2,4-3
10,TORToronto Raptors,4,3,0.5710000000000001,2,2-1,2-2,0-0,2-1,103.9,102.1,1.8,L1,4-3
11,PORPortland Trail Blazers,4,3,0.5710000000000001,2,2-1,2-2,2-1,4-3,101.6,101.3,0.3,L1,4-3
12,MIAMiami Heat,4,4,0.5,2.5,2-3,2-1,2-1,3-2,104.5,98.9,5.6,L2,4-4
13,DENDenver Nuggets,4,4,0.5,2.5,1-1,3-3,1-2,3-4,104.3,103.8,0.5,W1,4-4
14,DETDetroit Pistons,3,3,0.5,2.5,1-2,2-1,1-0,3-2,94.2,89.7,4.5,L1,3-3
15,INDIndiana Pacers,3,3,0.5,2.5,2-0,1-3,2-2,2-3,107.2,105.5,1.7,L2,3-3
16,MILMilwaukee Bucks,3,3,0.5,2.5,2-1,1-2,2-3,2-3,89.8,96.3,-6.5,W1,3-3
17,UTAHUtah Jazz,3,3,0.5,2.5,1-2,2-1,0-2,3-3,97.8,94.7,3.1,L1,3-3
18,LACLA Clippers,3,3,0.5,2.5,2-1,1-2,1-1,2-3,92.0,102.5,-10.5,W1,3-3
19,OKCOklahoma City Thunder,3,3,0.5,2.5,2-1,1-2,2-0,2-2,106.8,106.0,0.8,W2,3-3
20,SACSacramento Kings,3,3,0.5,2.5,2-1,1-2,1-3,1-3,107.3,103.2,4.1,L1,3-3
21,CHACharlotte Hornets,3,4,0.429,3,2-1,1-3,1-0,2-2,91.7,99.0,-7.3,L1,3-4
22,CHIChicago Bulls,3,4,0.429,3,2-3,1-1,3-2,3-4,104.3,101.7,2.6,L2,3-4
23,CLECleveland Cavaliers,2,4,0.33299999999999996,3.5,2-2,0-2,0-1,2-4,101.8,106.5,-4.7,L4,2-4
24,DALDallas Mavericks,2,5,0.28600000000000003,4,2-1,0-4,0-2,1-4,94.0,102.9,-8.9,L3,2-5
25,PHIPhiladelphia 76ers,2,5,0.28600000000000003,4,1-2,1-3,1-0,2-4,96.4,107.1,-10.7,W1,2-5
26,ORLOrlando Magic,2,5,0.28600000000000003,4,2-2,0-3,0-2,1-3,98.7,106.1,-7.4,W1,2-5
27,LALLos Angeles Lakers,2,6,0.25,4.5,2-6,0-0,1-4,2-6,105.9,107.3,-1.4,L5,2-6
28,NONew Orleans Pelicans,1,5,0.16699999999999998,4.5,1-2,0-3,1-2,1-2,105.5,110.7,-5.2,L5,1-5
29,BKNBrooklyn Nets,1,5,0.16699999999999998,4.5,1-2,0-3,0-4,1-5,101.0,111.2,-10.2,L5,1-5
