ID,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
GS,Golden State Warriors,67,15,0.8170000000000001,-,36-5,31-10,14-2,42-10,115.9,104.3,11.6,W1,9-1
SA,San Antonio Spurs,61,21,0.7440000000000001,6,31-10,30-11,11-5,36-16,105.3,98.1,7.2,L3,5-5
HOU,Houston Rockets,55,27,0.6709999999999999,12,30-11,25-16,10-6,36-16,115.3,109.6,5.7,W1,5-5
BOS,Boston Celtics,53,29,0.6459999999999999,14,30-11,23-18,11-5,36-16,108.0,105.4,2.6,W3,7-3
CLE,Cleveland Cavaliers,51,31,0.622,16,31-10,20-21,8-8,35-17,110.3,107.2,3.1,L4,4-6
UTA,HUtah Jazz,51,31,0.622,16,29-12,22-19,8-8,31-21,100.7,96.8,3.9,W2,7-3
TOR,Toronto Raptors,51,31,0.622,16,28-13,23-18,14-2,34-18,106.9,102.6,4.3,W4,8-2
LAC,LA Clippers,51,31,0.622,16,29-12,22-19,10-6,31-21,108.7,104.4,4.3,W7,8-2
WSH,Washington Wizards,49,33,0.598,18,30-11,19-22,8-8,32-20,109.2,107.4,1.8,L1,5-5
OKC,Oklahoma City Thunder,47,35,0.573,20,28-13,19-22,10-6,29-23,106.6,105.8,0.8,L1,6-4
ATL,Atlanta Hawks,43,39,0.524,24,23-18,20-21,6-10,30-22,103.2,104.0,-0.8,L1,6-4
MEM,Memphis Grizzlies,43,39,0.524,24,24-17,19-22,8-8,28-24,100.5,100.0,0.5,L2,3-7
MIL,Milwaukee Bucks,42,40,0.512,25,23-18,19-22,10-6,27-25,103.6,103.8,-0.2,L1,5-5
IND,Indiana Pacers,42,40,0.512,25,29-12,13-28,8-8,26-26,105.1,105.3,-0.2,W5,6-4
CHI,Chicago Bulls,41,41,0.5,26,25-16,16-25,9-7,28-24,102.9,102.4,0.5,W2,7-3
POR,Portland Trail Blazers,41,41,0.5,26,25-16,16-25,11-5,28-24,107.9,108.5,-0.6,L1,7-3
MIA,Miami Heat,41,41,0.5,26,23-18,18-23,9-7,27-25,103.2,102.1,1.1,W3,6-4
DEN,Denver Nuggets,40,42,0.488,27,22-19,18-23,6-10,24-28,111.7,111.2,0.5,W2,5-5
DET,Detroit Pistons,37,45,0.451,30,24-17,13-28,5-11,21-31,101.3,102.5,-1.2,L2,3-7
CHA,Charlotte Hornets,36,46,0.439,31,22-19,14-27,10-6,22-30,104.9,104.7,0.2,L5,4-6
NO,New Orleans Pelicans,34,48,0.415,33,21-20,13-28,6-10,20-32,104.3,106.4,-2.1,W1,4-6
DAL,Dallas Mavericks,33,49,0.402,34,21-20,12-29,5-11,19-33,97.9,100.8,-2.9,W1,2-8
SAC,Sacramento Kings,32,50,0.39,35,17-24,15-26,7-9,21-31,102.8,106.7,-3.9,L1,5-5
NY,New York Knicks,31,51,0.37799999999999995,36,19-22,12-29,5-11,22-30,104.3,108.0,-3.7,W1,4-6
MIN,Minnesota Timberwolves,31,51,0.37799999999999995,36,20-21,11-30,5-11,18-34,105.6,106.7,-1.1,L6,3-7
ORL,Orlando Magic,29,53,0.354,38,16-25,13-28,7-9,20-32,101.1,107.6,-6.5,W1,3-7
PHI,Philadelphia 76ers,28,54,0.341,39,17-24,11-30,7-9,19-33,102.4,108.1,-5.7,L8,1-9
LAL,Los Angeles Lakers,26,56,0.317,41,17-24,9-32,6-10,16-36,104.6,111.5,-6.9,L1,5-5
PHX,Phoenix Suns,24,58,0.293,43,15-26,9-32,3-13,11-41,107.7,113.3,-5.6,L1,2-8
BKN,Brooklyn Nets,20,62,0.244,47,13-28,7-34,3-13,11-41,105.8,112.5,-6.7,L2,5-5
