Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
UTAHUtah Jazz,5,0,1.0,-,3-0,2-0,1-0,2-0,123.8,93.2,30.6,W5,5-0
LACLA Clippers,5,0,1.0,-,4-0,1-0,1-0,3-0,114.8,91.6,23.2,W5,5-0
TORToronto Raptors,4,1,0.8,1,3-0,1-1,1-0,1-0,116.8,100.2,16.6,W3,4-1
CHACharlotte Hornets,4,1,0.8,1,3-0,1-1,1-0,3-1,114.2,109.4,4.8,W3,4-1
HOUHouston Rockets,4,1,0.8,1,2-1,2-0,3-0,3-0,117.6,101.4,16.2,W3,4-1
WSHWashington Wizards,4,1,0.8,1,2-1,2-0,1-0,3-1,118.8,108.8,10.0,W4,4-1
DENDenver Nuggets,4,1,0.8,1,1-0,3-1,0-0,2-1,106.8,101.6,5.2,W1,4-1
MILMilwaukee Bucks,3,1,0.75,1.5,2-0,1-1,1-0,1-0,124.8,107.3,17.5,W1,3-1
PHIPhiladelphia 76ers,3,1,0.75,1.5,3-1,0-0,0-0,1-0,114.0,106.8,7.2,L1,3-1
OKCOklahoma City Thunder,3,1,0.75,1.5,2-1,1-0,1-0,1-0,109.0,101.8,7.2,W3,3-1
NYNew York Knicks,3,2,0.6,2,1-2,2-0,1-1,2-2,108.4,109.2,-0.8,L2,3-2
PORPortland Trail Blazers,3,2,0.6,2,2-1,1-1,0-1,3-1,113.0,107.2,5.8,W2,3-2
SASan Antonio Spurs,3,2,0.6,2,2-1,1-1,0-1,0-1,108.2,102.4,5.8,W1,3-2
MIAMiami Heat,3,3,0.5,2.5,3-0,0-3,2-2,2-2,112.7,112.8,-0.1,W3,3-3
LALLos Angeles Lakers,3,3,0.5,2.5,2-3,1-0,3-1,3-3,112.5,113.5,-1.0,W2,3-3
INDIndiana Pacers,2,2,0.5,2.5,0-0,2-2,1-1,1-1,103.5,103.8,-0.3,L1,2-2
DALDallas Mavericks,2,2,0.5,2.5,1-1,1-1,0-0,0-0,115.8,104.5,11.3,L1,2-2
BKNBrooklyn Nets,2,2,0.5,2.5,0-1,2-1,1-2,2-2,104.0,110.0,-6.0,W1,2-2
CLECleveland Cavaliers,2,2,0.5,2.5,1-2,1-0,0-2,2-2,106.8,109.3,-2.5,L2,2-2
PHXPhoenix Suns,2,3,0.4,3,1-2,1-1,1-1,1-3,97.2,106.4,-9.2,L1,2-3
CHIChicago Bulls,2,3,0.4,3,2-1,0-2,1-1,1-2,102.2,105.8,-3.6,L1,2-3
MEMMemphis Grizzlies,2,3,0.4,3,2-1,0-2,0-2,0-2,106.6,113.6,-7.0,L2,2-3
ORLOrlando Magic,2,3,0.4,3,2-1,0-2,0-1,0-2,101.0,95.6,5.4,L1,2-3
DETDetroit Pistons,2,3,0.4,3,0-2,2-1,1-0,1-2,104.8,106.0,-1.2,W1,2-3
ATLAtlanta Hawks,2,3,0.4,3,2-0,0-3,0-1,0-1,112.6,116.2,-3.6,L1,2-3
SACSacramento Kings,2,4,0.33299999999999996,3.5,1-1,1-3,1-2,1-4,110.5,117.0,-6.5,L2,2-4
BOSBoston Celtics,1,3,0.25,3.5,1-1,0-2,0-0,1-3,102.3,107.8,-5.5,L2,1-3
MINMinnesota Timberwolves,1,4,0.2,4,0-2,1-2,0-1,1-2,108.8,123.8,-15.0,L4,1-4
GSGolden State Warriors,1,4,0.2,4,1-3,0-1,1-3,1-4,111.8,113.4,-1.6,L3,1-4
NONew Orleans Pelicans,0,5,0.0,5,0-1,0-4,0-0,0-0,113.0,124.8,-11.8,L5,0-5
