,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Allen Iverson,PHI,27,60,36,24,43.7,31.4,11.1,27.8,39.8,1.3,4.5,29.1,7.9,9.8,81.2,0.7,3.8,4.5,5.5,4.0,2.8,0.2,1.7,50.1,4,1,4.7
1,2,Shaquille O'Neal,LAL,30,67,51,16,36.1,27.2,10.6,18.3,57.9,0.0,0.0,0.0,5.9,10.7,55.5,3.5,7.2,10.7,3.0,2.6,0.6,2.0,3.0,49.9,40,0,8.5
2,3,Paul Pierce,BOS,24,82,49,33,40.2,26.1,8.6,19.5,44.2,2.6,6.3,40.4,6.3,7.8,80.9,1.0,5.9,6.9,3.2,2.9,1.9,1.0,2.9,45.0,17,0,3.8
3,4,Tracy McGrady,ORL,23,76,43,33,38.3,25.6,9.4,20.9,45.1,1.4,3.7,36.4,5.5,7.3,74.8,2.0,5.9,7.8,5.3,2.5,1.6,1.0,1.8,48.0,24,1,3.9
4,5,Tim Duncan,SAS,26,82,58,24,40.6,25.5,9.3,18.3,50.8,0.0,0.1,10.0,6.8,8.5,79.9,3.3,9.4,12.7,3.7,3.2,0.7,2.5,2.6,52.8,67,0,6.8
5,6,Kobe Bryant,LAL,23,80,56,24,38.3,25.2,9.4,20.0,46.9,0.4,1.7,25.0,6.1,7.4,82.9,1.4,4.1,5.5,5.5,2.8,1.5,0.4,2.9,43.0,11,1,5.6
6,7,Vince Carter,TOR,25,60,30,30,39.8,24.7,9.3,21.8,42.8,2.0,5.2,38.7,4.1,5.1,79.8,2.3,2.9,5.2,4.0,2.6,1.6,0.8,3.2,41.4,5,0,1.1
7,8,Chris Webber,SAC,29,54,42,12,38.4,24.5,9.9,19.9,49.5,0.1,0.4,26.3,4.7,6.3,74.9,2.8,7.3,10.1,4.8,2.9,1.7,1.4,3.4,50.1,31,1,7.6
8,9,Dirk Nowitzki,DAL,24,76,53,23,38.0,23.4,7.9,16.6,47.7,1.8,4.6,39.7,5.8,6.8,85.3,1.6,8.4,9.9,2.4,1.9,1.1,1.0,2.9,43.4,38,0,5.4
9,10,Michael Jordan,WAS,39,60,30,30,34.8,22.9,9.2,22.1,41.6,0.2,0.9,18.9,4.4,5.6,79.0,0.8,4.8,5.7,5.2,2.7,1.4,0.4,2.0,40.3,8,0,0.3
10,11,Karl Malone,UTA,38,80,43,37,38.0,22.4,7.9,17.5,45.4,0.1,0.3,36.0,6.4,8.0,79.7,1.8,6.8,8.6,4.3,3.3,1.9,0.7,2.9,43.7,28,0,0.6
11,12,Antoine Walker,BOS,25,81,48,33,42.1,22.1,8.2,20.9,39.4,2.7,8.0,34.4,3.0,4.0,74.1,1.9,7.0,8.8,5.0,3.1,1.5,0.5,2.9,43.1,29,2,3.0
12,13,Gary Payton,SEA,33,82,45,37,40.2,22.1,9.0,19.2,46.7,0.9,2.9,31.4,3.3,4.1,79.7,1.0,3.9,4.8,9.0,2.5,1.6,0.3,2.2,44.6,32,2,2.5
13,14,Ray Allen,MIL,26,69,35,34,36.6,21.8,7.7,16.6,46.2,3.3,7.7,43.4,3.1,3.6,87.3,1.2,3.3,4.5,3.9,2.3,1.3,0.3,2.3,35.4,3,0,0.7
14,15,Cuttino Mobley,HOU,26,74,28,46,42.1,21.7,8.0,18.4,43.8,2.0,5.1,39.5,3.6,4.2,85.0,0.9,3.2,4.1,2.5,2.4,1.5,0.5,2.6,33.8,1,0,-2.6
15,16,Steve Francis,HOU,25,57,26,31,41.1,21.6,7.4,17.7,41.7,1.2,3.7,32.4,5.7,7.4,77.3,1.8,5.2,7.0,6.4,3.9,1.2,0.4,3.0,40.8,14,2,-0.9
16,17,Jamal Mashburn,CHH,29,40,23,17,39.9,21.5,7.6,18.6,40.7,1.0,2.8,36.6,5.3,6.0,87.6,0.8,5.3,6.1,4.3,2.8,1.1,0.2,2.0,36.2,4,0,1.2
17,18,Jerry Stackhouse,DET,27,76,45,31,35.3,21.4,6.9,17.4,39.7,1.1,3.9,28.7,6.5,7.6,85.8,1.0,3.1,4.1,5.3,3.5,1.0,0.5,2.1,35.4,5,0,1.3
