,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Carmelo Anthony,NYK,29,67,47,20,37.0,28.7,10.0,22.2,44.9,2.3,6.2,37.9,6.3,7.6,83.0,2.0,4.9,6.9,2.6,2.6,0.8,0.5,3.1,41.9,10,0,4.6
1,2,Kevin Durant,OKC,24,81,60,21,38.5,28.1,9.0,17.7,51.0,1.7,4.1,41.6,8.4,9.3,90.5,0.6,7.3,7.9,4.6,3.5,1.4,1.3,1.8,49.3,19,3,8.9
2,3,Kobe Bryant,LAL,34,78,42,36,38.6,27.3,9.5,20.4,46.3,1.7,5.2,32.4,6.7,8.0,83.9,0.8,4.7,5.6,6.0,3.7,1.4,0.3,2.2,44.4,16,2,1.8
3,4,LeBron James,MIA,28,76,61,15,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7.0,75.3,1.3,6.8,8.0,7.3,3.0,1.7,0.9,1.4,52.1,36,4,9.5
4,5,James Harden,HOU,23,78,43,35,38.3,25.9,7.5,17.1,43.8,2.3,6.2,36.8,8.6,10.2,85.1,0.8,4.1,4.9,5.8,3.8,1.8,0.5,2.3,43.7,9,1,2.5
5,6,Russell Westbrook,OKC,24,82,60,22,34.9,23.2,8.2,18.7,43.8,1.2,3.7,32.3,5.6,7.0,80.0,1.4,3.9,5.2,7.4,3.3,1.8,0.3,2.3,43.4,23,1,7.7
6,7,Stephen Curry,GSW,25,78,45,33,38.2,22.9,8.0,17.8,45.1,3.5,7.7,45.3,3.4,3.7,90.0,0.8,3.3,4.0,6.9,3.1,1.6,0.2,2.5,40.3,15,0,1.7
7,8,Kyrie Irving,CLE,21,59,19,40,34.7,22.5,8.2,18.1,45.2,1.8,4.7,39.1,4.2,4.9,85.5,0.6,3.1,3.7,5.9,3.2,1.5,0.4,2.5,38.1,4,0,-3.0
8,9,Dwyane Wade,MIA,31,69,55,14,34.6,21.2,8.2,15.8,52.1,0.2,1.0,25.8,4.5,6.2,72.5,1.2,3.7,5.0,5.1,2.8,1.9,0.8,2.0,40.0,4,0,8.3
9,10,LaMarcus Aldridge,POR,27,74,32,42,37.7,21.1,8.6,17.8,48.4,0.0,0.2,14.3,3.8,4.7,81.0,2.4,6.7,9.1,2.6,1.9,0.8,1.2,2.5,40.1,38,0,-0.3
10,11,Tony Parker,SAS,31,66,47,19,32.9,20.3,7.9,15.1,52.2,0.4,1.0,35.3,4.2,5.0,84.5,0.3,2.7,3.0,7.6,2.6,0.8,0.1,1.4,35.4,17,1,6.8
11,12,Brook Lopez,BKN,25,74,46,28,30.5,19.4,7.7,14.8,52.1,0.0,0.0,0.0,4.0,5.3,75.8,2.8,4.1,6.9,0.9,1.8,0.4,2.1,2.1,35.0,12,0,3.9
12,13,Monta Ellis,MIL,27,82,38,44,37.5,19.2,7.3,17.5,41.6,1.1,4.0,28.7,3.5,4.6,77.3,0.5,3.3,3.9,6.0,3.1,2.1,0.4,2.0,37.3,9,0,-0.5
13,14,Damian Lillard,POR,22,82,33,49,38.6,19.0,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,0.5,2.6,3.1,6.5,3.0,0.9,0.2,2.1,33.0,7,0,-0.8
14,15,Deron Williams,BKN,29,78,46,32,36.4,18.9,6.3,14.4,44.0,2.2,5.7,37.8,4.1,4.7,85.9,0.4,2.6,3.0,7.7,2.8,1.0,0.4,2.5,35.4,21,0,2.2
15,16,Paul Pierce,BOS,35,77,41,36,33.4,18.6,6.2,14.2,43.6,1.9,5.0,38.0,4.3,5.5,78.7,0.6,5.7,6.3,4.8,2.8,1.1,0.4,2.7,35.0,12,3,1.6
16,17,John Wall,WAS,22,49,24,25,32.7,18.5,6.6,15.0,44.1,0.2,0.9,26.7,5.0,6.2,80.4,0.7,3.3,4.0,7.6,3.2,1.3,0.8,2.4,37.7,14,0,0.9
17,18,David Lee,GSW,30,79,46,33,36.8,18.5,7.6,14.7,51.9,0.0,0.1,0.0,3.2,4.1,79.7,2.8,8.5,11.2,3.5,2.6,0.8,0.3,3.1,38.0,56,1,2.2
18,19,Kevin Love,MIN,24,18,9,9,34.3,18.3,5.8,16.6,35.2,1.1,5.1,21.7,5.6,7.9,70.4,3.6,10.4,14.0,2.3,2.2,0.7,0.5,1.9,40.1,14,0,0.1
19,20,Rudy Gay,TOR,26,75,46,29,35.8,18.2,6.9,16.7,41.6,1.1,3.5,32.3,3.2,3.9,81.4,1.3,4.8,6.1,2.7,2.6,1.5,0.7,2.4,33.6,6,0,2.9
20,21,DeMar DeRozan,TOR,23,82,34,48,36.7,18.1,6.7,15.0,44.5,0.4,1.5,28.3,4.3,5.2,83.1,0.6,3.3,3.9,2.5,1.8,0.9,0.3,2.1,28.3,0,0,-1.4
21,22,JR Smith,NYK,27,80,53,27,33.5,18.1,6.6,15.6,42.2,1.9,5.5,35.6,3.0,3.9,76.2,0.8,4.5,5.3,2.7,1.7,1.3,0.3,2.8,31.5,8,0,3.7
22,23,Blake Griffin,LAC,24,80,55,25,32.5,18.0,7.2,13.4,53.8,0.1,0.4,17.9,3.5,5.3,66.0,2.3,6.0,8.3,3.7,2.3,1.2,0.6,2.9,36.7,28,1,4.8
23,24,Al Jefferson,UTA,28,78,41,37,33.1,17.8,7.8,15.8,49.4,0.0,0.2,11.8,2.1,2.8,77.0,2.0,7.2,9.2,2.1,1.3,1.0,1.1,2.2,37.2,37,0,-2.0
