,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Kevin Durant,OKC,22,78,52,26,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35.0,7.6,8.7,88.0,0.7,6.1,6.8,2.7,2.8,1.1,1.0,2.0,43.5,14,0,3.4
1,2,LeBron James,MIA,26,79,57,22,38.8,26.7,9.6,18.8,51.0,1.2,3.5,33.0,6.4,8.4,75.9,1.0,6.5,7.5,7.0,3.6,1.6,0.6,2.1,49.2,31,4,7.8
2,3,Carmelo Anthony,NYK,27,77,43,34,35.7,25.6,8.9,19.5,45.5,1.2,3.3,37.8,6.6,7.9,83.8,1.5,5.8,7.3,2.9,2.7,0.9,0.6,2.9,40.4,18,0,2.4
3,4,Dwyane Wade,MIA,29,76,54,22,37.1,25.5,9.1,18.2,50.0,0.8,2.7,30.6,6.5,8.6,75.8,1.6,4.8,6.4,4.6,3.1,1.5,1.1,2.6,44.7,10,1,7.6
4,5,Kobe Bryant,LAL,32,82,57,25,33.9,25.3,9.0,20.0,45.1,1.4,4.3,32.3,5.9,7.1,82.8,1.0,4.1,5.1,4.7,3.0,1.2,0.1,2.1,39.7,9,1,5.2
5,6,Amar'e Stoudemire,NYK,28,78,39,39,36.8,25.3,9.5,19.0,50.2,0.1,0.3,43.5,6.1,7.7,79.2,2.5,5.6,8.2,2.6,3.2,0.9,1.9,3.5,44.2,26,0,0.8
6,7,Derrick Rose,CHI,22,81,62,19,37.4,25.0,8.8,19.7,44.5,1.6,4.8,33.2,5.9,6.9,85.8,1.0,3.1,4.1,7.7,3.4,1.0,0.6,1.7,43.0,23,1,6.2
7,8,Monta Ellis,GSW,25,80,35,45,40.3,24.1,9.1,20.1,45.1,1.7,4.7,36.1,4.3,5.4,78.9,0.6,3.0,3.5,5.6,3.2,2.1,0.3,2.5,40.8,10,0,-2.9
8,9,Kevin Martin,HOU,28,80,42,38,32.5,23.5,6.9,15.8,43.6,2.2,5.7,38.3,7.4,8.4,88.8,0.4,2.9,3.2,2.5,2.3,1.0,0.2,1.9,32.3,0,0,2.0
9,10,Dirk Nowitzki,DAL,33,73,55,18,34.3,23.0,8.4,16.2,51.7,0.9,2.3,39.3,5.4,6.1,89.2,0.7,6.3,7.0,2.6,1.9,0.5,0.6,2.4,37.0,16,0,7.3
10,11,Dwight Howard,ORL,25,78,51,27,37.6,22.9,7.9,13.4,59.3,0.0,0.1,0.0,7.0,11.7,59.6,4.0,10.1,14.1,1.4,3.6,1.4,2.4,3.3,49.5,66,0,6.4
11,12,Blake Griffin,LAC,22,82,32,50,37.9,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,3.3,8.8,12.1,3.8,2.7,0.8,0.5,3.1,43.9,63,2,-1.8
12,13,Eric Gordon,LAC,22,56,25,31,37.7,22.3,7.6,16.9,45.0,1.9,5.2,36.4,5.1,6.2,82.5,0.8,2.1,2.9,4.4,2.7,1.3,0.3,2.1,34.4,1,0,0.0
13,14,Russell Westbrook,OKC,22,82,55,27,34.7,21.9,7.5,17.0,44.2,0.4,1.3,33.0,6.5,7.7,84.2,1.5,3.1,4.6,8.2,3.9,1.9,0.4,2.5,42.6,31,3,1.4
14,15,LaMarcus Aldridge,POR,25,81,48,33,39.6,21.8,8.7,17.5,50.0,0.0,0.3,17.4,4.3,5.5,79.1,3.4,5.3,8.8,2.1,1.9,1.0,1.2,2.7,40.1,36,0,3.5
15,16,Andrea Bargnani,TOR,25,66,19,47,35.7,21.4,8.0,17.8,44.8,1.2,3.4,34.5,4.3,5.3,82.0,1.1,4.1,5.2,1.8,2.3,0.5,0.7,2.4,31.7,2,0,-4.8
16,17,Danny Granger,IND,28,79,36,43,35.0,20.5,6.8,15.9,42.5,2.0,5.2,38.6,5.0,5.9,84.8,1.1,4.3,5.4,2.6,2.6,1.1,0.8,2.7,34.0,5,0,-0.2
